class,t0,hour_mean_w_pergpu,n_gpus,r_1min,r_1min_node,r_5min,r_5min_node,r_15min,r_15min_node
training (SD),2025-09-20 11:20:00,626.2350122239528,4,0.5162828094572918,0.5162914034223759,0.9155986490030936,0.9156218055270806,0.9433515591688164,0.9433777069864892
training (SD),2025-09-20 11:30:00,619.8442766590643,4,0.5216064137500442,0.5216144852962324,0.9250411342677043,0.9250620747316438,0.9530798612553295,0.9531041458521617
training (SD),2025-09-20 11:40:00,612.8746230461144,4,0.527538627984174,0.52754632216026,0.9050994986849557,0.9050988336215745,0.9639192879620719,0.9639429136912346
training (SD),2025-09-20 11:50:00,612.8591129700712,4,0.5275517940718807,0.5275596731627984,0.9051226922374784,0.9051217396230338,0.9639437676896387,0.9639673089030806
training (SD),2025-09-20 12:00:00,612.7149506842457,4,0.5276755721555055,0.5276837997379825,0.9053354026851074,0.9053347006725214,0.9641703352277183,0.9641941153985927
training (SD),2025-09-20 12:10:00,618.2261205290093,4,0.5229682199193297,0.5229797684003907,0.897259941764492,0.8972641045975851,0.9555720903740776,0.9555988177286457
training (SD),2025-09-20 12:20:00,624.1067736135061,4,0.5962513769484619,0.5962696220157588,0.8888012437748471,0.8888096234937193,0.9773684687395876,0.9773666479745614
training (SD),2025-09-20 12:30:00,629.6377535461979,4,0.6660791875927731,0.6660891403635123,0.8809920231611093,0.8810019782821041,0.9687802273636786,0.9687810838364781
training (SD),2025-09-20 12:40:00,626.7600049507704,4,0.584075245111476,0.5841043641726266,0.8954295035268465,0.895463205369639,0.9366209702018795,0.9366564349045171
training (SD),2025-09-20 12:50:00,618.538492671191,4,0.5371749273176818,0.5371851357734304,0.9073329447360668,0.9073655555484688,0.9490720530179687,0.9491063187396501
training (SD),2025-09-20 13:00:00,613.1973898314513,4,0.5201678135399341,0.5201533080905718,0.9152376319765697,0.9152689367855512,0.9573405645735635,0.9573732724780353
training (SD),2025-09-20 13:10:00,613.497760972964,4,0.5199132486698071,0.5198986387945258,0.9147896225195162,0.9148208171788923,0.9568719047384524,0.9569045384075933
training (SD),2025-09-20 13:20:00,613.5881338173119,4,0.519837140365329,0.51982206508625,0.9146551335343249,0.9146860770254236,0.9567312747358901,0.9567635999178488
training (SD),2025-09-20 13:30:00,614.4381830496218,4,0.5191150264103412,0.5191029132503873,0.9133883963023635,0.9134206475338498,0.9554059578661352,0.955439957953452
training (SD),2025-09-20 13:40:00,624.3223388456189,4,0.5108908867451465,0.5108845719393749,0.9164478024970522,0.9177463786525386,0.9533006457461839,0.9533154424193456
training (SD),2025-09-20 13:50:00,631.5439315615265,4,0.5050457348397244,0.5050426975755998,0.9095711779370192,0.909566822674236,0.9742517482909243,0.9742695740816331
training (SD),2025-09-20 14:00:00,632.0956402425456,4,0.5752637059220158,0.5752795637494591,0.9222342077264534,0.9222527520276144,0.9734018246587122,0.973419207543007
training (SD),2025-09-20 14:10:00,621.6972469123783,4,0.5237393125575158,0.5237532009254904,0.9239712092405935,0.9242444829125186,0.9545517158364331,0.954576135784089
training (SD),2025-09-20 14:20:00,614.991464758567,4,0.44154139921450813,0.44152794706333115,0.9194001744363879,0.919396840195011,0.9649622869812705,0.9649847023782743
training (SD),2025-09-20 14:30:00,615.0062760083449,4,0.44153075437487327,0.4415173137072777,0.9193778864541423,0.9193746982807308,0.9649390177944077,0.9649614625675336
training (SD),2025-09-20 14:40:00,614.8735014462925,4,0.4416259063068642,0.44161265407863565,0.9195761912436348,0.9195732262261361,0.9651472441753184,0.9651698344282309
