day,gh_share_delay_ge1h,null_delay_gh_share,median_delay_s
139,0.03544691211973806,0.010399702154303152,0.0
140,0.018268257652669748,0.010013387797769361,0.0
141,0.020510971438993466,0.011925590301111504,0.0
142,0.010906604305403985,0.014958340181438656,0.0
143,0.010150694242681642,0.020906076824077646,0.0
144,0.03242654779085327,0.028506392781356877,0.0
145,0.01473357626305189,0.02579854235491681,0.0
146,0.011816001720737384,0.025898290079623486,0.0
147,0.01852483987017733,0.008166302773939337,0.0
148,0.024580068061673045,0.010397794063415759,0.0
149,0.03428744216849202,0.008806334587619284,0.0
150,0.04685650412828332,0.01565476818254023,0.0
151,0.02504341766896437,0.008547618919506405,0.0
152,0.01751655349842081,0.012370310993627285,0.0
153,0.01915719963614098,0.010991858645187721,1.0
154,0.01666551190243144,0.007554081992364142,0.0
155,0.02811657341003338,0.022387479657230012,0.0
156,0.029314605512626924,0.0182549213940437,0.0
157,0.040531542797816636,0.019754182293536256,0.0
158,0.03431001764092702,0.009136608641877859,0.0
159,0.03753358545358795,0.008941023997129236,0.0
160,0.025045856352946094,0.010139796066220957,0.0
161,0.03130736447073615,0.009777122752945932,1.0
162,0.03683442114199283,0.0138503350171855,0.0
163,0.036060664393380785,0.0068106557341285874,1.0
164,0.04364433785851828,0.018489823093753733,0.0
165,0.036509540798461554,0.003585919128606835,0.0
166,0.03857005742368134,0.009282620464998458,0.0
167,0.033283738275468655,0.008436129725945669,0.0
168,0.0463097820884083,0.006548895908530776,0.0
169,0.03566881295412955,0.015794753847581475,1.0
170,0.03190420831026679,0.004370998839713192,1.0
171,0.019758249766873688,0.008384508090989588,0.0
172,0.02655826593866599,0.0032632755287337768,0.0
173,0.045089739431317374,0.0031931621447425585,0.0
174,0.030500316157240914,0.005142437957507465,0.0
175,0.037798290792337375,0.003760562665085594,0.0
176,0.037369935068732894,0.0039009402277809906,0.0
177,0.021680442880441107,0.01408952752539784,0.0
178,0.017674617161694425,0.022416192794162303,0.0
179,0.0235117234714915,0.009764838892170146,0.0
180,0.04363430758015495,0.01719112567854057,0.0
181,0.03341876747043592,0.0067988238198244885,0.0
182,0.026783320853852474,0.0037656131921124537,0.0
183,0.028091956969820045,0.007455673709460968,0.0
184,0.02921705396528881,0.017842136934104913,0.0
