tier,margin,scenario,budget_pct,p5,p50,p95
facility_marginal_pue1.0,0.05,full,0.5,3012.3673059897556,3053.6769656464458,3119.830398994054
facility_marginal_pue1.0,0.05,full,1.0,3760.057232170766,3802.3012350640784,3861.797462813229
facility_marginal_pue1.0,0.05,full,2.0,4731.719612490451,4773.945388842549,4846.0879487092825
facility_marginal_pue1.0,0.05,cap25,0.25,2063.7325615352893,2127.5066275939025,2199.469286515523
facility_marginal_pue1.0,0.05,cap25,0.5,2063.7325615352893,2127.5066275939025,2199.469286515523
facility_marginal_pue1.0,0.05,cap25,1.0,2063.7325615352893,2127.5066275939025,2199.469286515523
facility_marginal_pue1.0,0.05,cap25,2.0,2063.7325615352893,2127.5066275939025,2199.469286515523
facility_marginal_pue1.0,0.05,constM,0.25,1752.6576707750792,1806.8188097458915,1867.9342413452105
facility_marginal_pue1.0,0.05,constM,0.5,1752.6576707750792,1806.8188097458915,1867.9342413452105
facility_marginal_pue1.0,0.05,constM,1.0,1752.6576707750792,1806.8188097458915,1867.9342413452105
facility_marginal_pue1.0,0.05,constM,2.0,1752.6576707750792,1806.8188097458915,1867.9342413452105
facility_marginal_pue1.0,0.05,measured,0.25,1741.553690559158,1809.4776685848046,1864.6798920844958
facility_marginal_pue1.0,0.05,measured,0.5,1741.553690559158,1809.4776685848046,1864.6798920844958
facility_marginal_pue1.0,0.05,measured,1.0,1741.553690559158,1809.4776685848046,1864.6798920844958
facility_marginal_pue1.0,0.05,measured,2.0,1741.553690559158,1809.4776685848046,1864.6798920844958
facility_marginal_pue1.0,0.05,measured_attributed,0.25,1816.1833368894804,1900.1684595059487,1972.5080243742923
facility_marginal_pue1.0,0.05,measured_attributed,0.5,1816.1833368894804,1900.1684595059487,1972.5080243742923
facility_marginal_pue1.0,0.05,measured_attributed,1.0,1816.1833368894804,1900.1684595059487,1972.5080243742923
facility_marginal_pue1.0,0.05,measured_attributed,2.0,1816.1833368894804,1900.1684595059487,1972.5080243742923
facility_marginal_pue1.0,0.1,full,0.25,4233.465495179189,4289.277811330976,4404.664755729755
facility_marginal_pue1.0,0.1,full,0.5,4677.476929434306,4737.440437802434,4847.972140349157
facility_marginal_pue1.0,0.1,full,1.0,5420.9524831721865,5478.091924378532,5577.182039593936
facility_marginal_pue1.0,0.1,full,2.0,6405.768536855248,6458.4816821115965,6556.141916196793
facility_marginal_pue1.0,0.1,cap25,0.25,4127.465123088768,4228.88280276311,4305.876389969853
facility_marginal_pue1.0,0.1,cap25,0.5,4127.465123088768,4228.88280276311,4325.914372191619
facility_marginal_pue1.0,0.1,cap25,1.0,4127.465123088768,4228.88280276311,4325.914372191619
facility_marginal_pue1.0,0.1,cap25,2.0,4127.465123088768,4228.88280276311,4325.914372191619
facility_marginal_pue1.0,0.1,constM,0.25,3505.3153415683482,3591.4459175728553,3673.8515197512243
facility_marginal_pue1.0,0.1,constM,0.5,3505.3153415683482,3591.4459175728553,3673.8515197512243
facility_marginal_pue1.0,0.1,constM,1.0,3505.3153415683482,3591.4459175728553,3673.8515197512243
facility_marginal_pue1.0,0.1,constM,2.0,3505.3153415683482,3591.4459175728553,3673.8515197512243
facility_marginal_pue1.0,0.1,measured,0.25,3483.1073811355964,3580.5678313045064,3706.0672922434605
facility_marginal_pue1.0,0.1,measured,0.5,3483.1073811355964,3580.5678313045064,3706.0672922434605
facility_marginal_pue1.0,0.1,measured,1.0,3483.1073811355964,3580.5678313045064,3706.0672922434605
facility_marginal_pue1.0,0.1,measured,2.0,3483.1073811355964,3580.5678313045064,3706.0672922434605
facility_marginal_pue1.0,0.1,measured_attributed,0.25,3630.270300093798,3750.8782749137026,3911.8646279175664
facility_marginal_pue1.0,0.1,measured_attributed,0.5,3630.270300093798,3750.8782749137026,3911.8646279175664
facility_marginal_pue1.0,0.1,measured_attributed,1.0,3630.270300093798,3750.8782749137026,3911.8646279175664
facility_marginal_pue1.0,0.1,measured_attributed,2.0,3630.270300093798,3750.8782749137026,3911.8646279175664
