training_fraction,offline_fraction,hours,coverage,shift_envelope_mw,deferred_active_mwh,extra_energy_fraction,recovery_active_mwh,external_recovery_headroom_mw,recovery_time_lower_bound_h,net_active_energy_saved_mwh
0.75,0.75,4,0.95,4.547119286603049,18.188477146412197,0.05,19.097901003732808,0.5,38.195802007465616,-0.9094238573206099
0.75,0.75,4,0.95,4.547119286603049,18.188477146412197,0.05,19.097901003732808,1.0,19.097901003732808,-0.9094238573206099
0.75,0.75,4,0.95,4.547119286603049,18.188477146412197,0.05,19.097901003732808,2.0,9.548950501866404,-0.9094238573206099
0.75,0.75,4,0.95,4.547119286603049,18.188477146412197,0.05,19.097901003732808,5.0,3.819580200746562,-0.9094238573206099
0.75,0.75,4,0.95,4.547119286603049,18.188477146412197,0.1,20.00732486105342,0.5,40.01464972210684,-1.8188477146412199
0.75,0.75,4,0.95,4.547119286603049,18.188477146412197,0.1,20.00732486105342,1.0,20.00732486105342,-1.8188477146412199
0.75,0.75,4,0.95,4.547119286603049,18.188477146412197,0.1,20.00732486105342,2.0,10.00366243052671,-1.8188477146412199
0.75,0.75,4,0.95,4.547119286603049,18.188477146412197,0.1,20.00732486105342,5.0,4.001464972210684,-1.8188477146412199
0.75,0.75,4,0.95,4.547119286603049,18.188477146412197,0.25,22.735596433015246,0.5,45.47119286603049,-4.547119286603049
0.75,0.75,4,0.95,4.547119286603049,18.188477146412197,0.25,22.735596433015246,1.0,22.735596433015246,-4.547119286603049
0.75,0.75,4,0.95,4.547119286603049,18.188477146412197,0.25,22.735596433015246,2.0,11.367798216507623,-4.547119286603049
0.75,0.75,4,0.95,4.547119286603049,18.188477146412197,0.25,22.735596433015246,5.0,4.547119286603049,-4.547119286603049
0.75,0.75,24,0.95,4.354599773420638,104.51039456209531,0.0,104.51039456209531,0.5,209.02078912419063,0.0
0.75,0.75,24,0.95,4.354599773420638,104.51039456209531,0.0,104.51039456209531,1.0,104.51039456209531,0.0
0.75,0.75,24,0.95,4.354599773420638,104.51039456209531,0.0,104.51039456209531,2.0,52.25519728104766,0.0
0.75,0.75,24,0.95,4.354599773420638,104.51039456209531,0.0,104.51039456209531,5.0,20.902078912419064,0.0
0.75,0.75,24,0.95,4.354599773420638,104.51039456209531,0.05,109.73591429020009,0.5,219.47182858040017,-5.225519728104766
0.75,0.75,24,0.95,4.354599773420638,104.51039456209531,0.05,109.73591429020009,1.0,109.73591429020009,-5.225519728104766
0.75,0.75,24,0.95,4.354599773420638,104.51039456209531,0.05,109.73591429020009,2.0,54.86795714510004,-5.225519728104766
0.75,0.75,24,0.95,4.354599773420638,104.51039456209531,0.05,109.73591429020009,5.0,21.947182858040016,-5.225519728104766
0.75,0.75,24,0.95,4.354599773420638,104.51039456209531,0.1,114.96143401830486,0.5,229.9228680366097,-10.451039456209532
0.75,0.75,24,0.95,4.354599773420638,104.51039456209531,0.1,114.96143401830486,1.0,114.96143401830486,-10.451039456209532
0.75,0.75,24,0.95,4.354599773420638,104.51039456209531,0.1,114.96143401830486,2.0,57.48071700915243,-10.451039456209532
0.75,0.75,24,0.95,4.354599773420638,104.51039456209531,0.1,114.96143401830486,5.0,22.99228680366097,-10.451039456209532
0.75,0.75,24,0.95,4.354599773420638,104.51039456209531,0.25,130.63799320261916,0.5,261.2759864052383,-26.12759864052383
0.75,0.75,24,0.95,4.354599773420638,104.51039456209531,0.25,130.63799320261916,1.0,130.63799320261916,-26.12759864052383
0.75,0.75,24,0.95,4.354599773420638,104.51039456209531,0.25,130.63799320261916,2.0,65.31899660130958,-26.12759864052383
0.75,0.75,24,0.95,4.354599773420638,104.51039456209531,0.25,130.63799320261916,5.0,26.127598640523832,-26.12759864052383
1.0,1.0,1,0.95,6.165837264966164,6.165837264966164,0.0,6.165837264966164,0.5,12.331674529932329,0.0
1.0,1.0,1,0.95,6.165837264966164,6.165837264966164,0.0,6.165837264966164,1.0,6.165837264966164,0.0
1.0,1.0,1,0.95,6.165837264966164,6.165837264966164,0.0,6.165837264966164,2.0,3.082918632483082,0.0
1.0,1.0,1,0.95,6.165837264966164,6.165837264966164,0.0,6.165837264966164,5.0,1.2331674529932328,0.0
1.0,1.0,1,0.95,6.165837264966164,6.165837264966164,0.05,6.474129128214473,0.5,12.948258256428947,-0.30829186324830826
1.0,1.0,1,0.95,6.165837264966164,6.165837264966164,0.05,6.474129128214473,1.0,6.474129128214473,-0.30829186324830826
1.0,1.0,1,0.95,6.165837264966164,6.165837264966164,0.05,6.474129128214473,2.0,3.2370645641072366,-0.30829186324830826
1.0,1.0,1,0.95,6.165837264966164,6.165837264966164,0.05,6.474129128214473,5.0,1.2948258256428946,-0.30829186324830826
1.0,1.0,1,0.95,6.165837264966164,6.165837264966164,0.1,6.782420991462781,0.5,13.564841982925563,-0.6165837264966165
1.0,1.0,1,0.95,6.165837264966164,6.165837264966164,0.1,6.782420991462781,1.0,6.782420991462781,-0.6165837264966165
1.0,1.0,1,0.95,6.165837264966164,6.165837264966164,0.1,6.782420991462781,2.0,3.3912104957313907,-0.6165837264966165
1.0,1.0,1,0.95,6.165837264966164,6.165837264966164,0.1,6.782420991462781,5.0,1.3564841982925562,-0.6165837264966165
1.0,1.0,1,0.95,6.165837264966164,6.165837264966164,0.25,7.707296581207705,0.5,15.41459316241541,-1.541459316241541
1.0,1.0,1,0.95,6.165837264966164,6.165837264966164,0.25,7.707296581207705,1.0,7.707296581207705,-1.541459316241541
1.0,1.0,1,0.95,6.165837264966164,6.165837264966164,0.25,7.707296581207705,2.0,3.8536482906038527,-1.541459316241541
1.0,1.0,1,0.95,6.165837264966164,6.165837264966164,0.25,7.707296581207705,5.0,1.541459316241541,-1.541459316241541
1.0,1.0,4,0.95,6.0628257154707335,24.251302861882934,0.0,24.251302861882934,0.5,48.50260572376587,0.0
1.0,1.0,4,0.95,6.0628257154707335,24.251302861882934,0.0,24.251302861882934,1.0,24.251302861882934,0.0
1.0,1.0,4,0.95,6.0628257154707335,24.251302861882934,0.0,24.251302861882934,2.0,12.125651430941467,0.0
1.0,1.0,4,0.95,6.0628257154707335,24.251302861882934,0.0,24.251302861882934,5.0,4.850260572376587,0.0
1.0,1.0,4,0.95,6.0628257154707335,24.251302861882934,0.05,25.463868004977083,0.5,50.92773600995417,-1.2125651430941469
1.0,1.0,4,0.95,6.0628257154707335,24.251302861882934,0.05,25.463868004977083,1.0,25.463868004977083,-1.2125651430941469
1.0,1.0,4,0.95,6.0628257154707335,24.251302861882934,0.05,25.463868004977083,2.0,12.731934002488542,-1.2125651430941469
1.0,1.0,4,0.95,6.0628257154707335,24.251302861882934,0.05,25.463868004977083,5.0,5.092773600995416,-1.2125651430941469
1.0,1.0,4,0.95,6.0628257154707335,24.251302861882934,0.1,26.67643314807123,0.5,53.35286629614246,-2.4251302861882937
1.0,1.0,4,0.95,6.0628257154707335,24.251302861882934,0.1,26.67643314807123,1.0,26.67643314807123,-2.4251302861882937
1.0,1.0,4,0.95,6.0628257154707335,24.251302861882934,0.1,26.67643314807123,2.0,13.338216574035615,-2.4251302861882937
