model,training_fraction,offline_fraction,hours,coverage,n_windows,combined_mw,incremental_shift_mw,combined_actual_coverage,combined_linear_quantile_mw
power_curves,0.25,0.5,4,0.5,4433,5.172898269492048,1.8615903570621752,0.500112790435371,5.172898269492048
power_curves,0.25,0.5,4,0.8,4433,4.6614636189225065,1.6965410672402135,0.8005865102639296,4.661850341916647
power_curves,0.25,0.5,4,0.9,4433,4.397693329364241,1.623914721177663,0.900518836002707,4.397794415447347
power_curves,0.25,0.5,4,0.95,4433,4.0289050361531995,1.556922519227779,0.9501466275659824,4.0289050361531995
power_curves,0.25,0.5,4,0.99,4433,3.6495402310547185,1.4771316802870835,0.9900744416873449,3.6495402310547185
power_curves,0.25,0.5,24,0.5,4393,4.72888129775535,1.748953263617893,0.5023901661734578,4.72888129775535
power_curves,0.25,0.5,24,0.8,4393,4.3761764579581985,1.6141014430019038,0.8044616435237878,4.3761764579581985
power_curves,0.25,0.5,24,0.9,4393,3.9485117154700324,1.541738525582277,0.9002959253357614,3.949395206073566
power_curves,0.25,0.5,24,0.95,4393,3.679496902847664,1.501738252716397,0.9531072160254951,3.679496902847664
power_curves,0.25,0.5,24,0.99,4393,3.3652647023264803,1.3767726049193925,0.9943091281584339,3.3652647023264803
power_curves,0.25,0.75,1,0.5,4439,5.442162463759045,1.9309166060665919,0.5001126379815274,5.442162463759045
power_curves,0.25,0.75,1,0.8,4439,4.88306000961053,1.7772306726351086,0.8001802207704438,4.883336472240515
power_curves,0.25,0.75,1,0.9,4439,4.626277452973183,1.6918624534529045,0.9002027483667493,4.626603758094738
power_curves,0.25,0.75,1,0.95,4439,4.35016264087858,1.6209418107648428,0.950214012164902,4.350664383008423
power_curves,0.25,0.75,1,0.99,4439,3.8571436922037887,1.5073910054643849,0.9900878576255914,3.8591603797409113
power_curves,0.25,0.75,4,0.5,4433,5.2145375381558114,1.8884922276045208,0.500112790435371,5.2145375381558114
power_curves,0.25,0.75,4,0.8,4433,4.706796547438243,1.7434017971825846,0.8001353485224453,4.706796547438243
power_curves,0.25,0.75,4,0.9,4433,4.4520842591523975,1.66245261931548,0.9007444168734491,4.452167156530346
power_curves,0.25,0.75,4,0.95,4433,4.1066213675827905,1.594457639031193,0.9501466275659824,4.1066213675827905
