dataset,mask,residual,portfolio,n_clusters,hours,calendar_hours,block_hours,valid_replicates,R,R_p5,R_p95,rho_weighted,rho_weighted_p5,rho_weighted_p95,R_excludes_one,rho_excludes_zero
ASI_allocated_GPU,trim_low_allocation,calendar,all,14,1386,4440,336,1000,1.9051069059798962,1.5154403173880702,2.0444963239423224,0.37728286377643283,0.19429769807493852,0.49734192787990433,True,True
ASI_modeled_workload_MW,full,raw,all,14,1603,4440,168,1000,2.0222435905178746,1.8612503133771212,2.1104811030192843,0.4293038069613096,0.31750975588703123,0.5312177195590613,True,True
ASI_modeled_workload_MW,full,raw,all,14,1603,4440,336,1000,2.0222435905178746,1.8225470227415548,2.0829339370049476,0.4293038069613096,0.2935802906656469,0.5355686862502127,True,True
ASI_modeled_workload_MW,full,calendar,all,14,1603,4440,168,1000,1.9096953582139518,1.6169981716374038,2.0335044329541088,0.36404840750324,0.20640256680529198,0.4751627673686267,True,True
ASI_modeled_workload_MW,full,calendar,all,14,1603,4440,336,1000,1.9096953582139518,1.507797057131253,2.0320353382103966,0.36404840750324,0.15768650599141787,0.4810104950744725,True,True
ASI_modeled_workload_MW,trim,raw,all,14,1435,4440,168,1000,1.9870542654118015,1.833449928323909,2.0901246961367854,0.4103286197188788,0.30224745459312485,0.5228838721805613,True,True
ASI_modeled_workload_MW,trim,raw,all,14,1435,4440,336,1000,1.9870542654118015,1.809949722581856,2.071873266490391,0.4103286197188788,0.2821576894039073,0.5328987260805225,True,True
ASI_modeled_workload_MW,trim,calendar,all,14,1435,4440,168,1000,1.878264467691289,1.5687351119854571,2.0306347123160124,0.34850843223397643,0.18622521642509407,0.4751627673686267,True,True
ASI_modeled_workload_MW,trim,calendar,all,14,1435,4440,336,1000,1.878264467691289,1.4749881760042305,2.0288534682798063,0.34850843223397643,0.14869223673480111,0.480971920488906,True,True
ASI_modeled_workload_MW,low_allocation,raw,all,14,1554,4440,168,1000,2.0484374035643977,1.9056544605575858,2.1229586272166907,0.454762407439652,0.3480375050891574,0.5477583899799541,True,True
ASI_modeled_workload_MW,low_allocation,raw,all,14,1554,4440,336,1000,2.0484374035643977,1.8852439154229044,2.09082523727374,0.454762407439652,0.3288096303695384,0.5433424135241486,True,True
ASI_modeled_workload_MW,low_allocation,calendar,all,14,1554,4440,168,1000,1.9343352334730604,1.6493114269994544,2.046801988614214,0.3853507017032573,0.2237739942542238,0.4896839997091827,True,True
ASI_modeled_workload_MW,low_allocation,calendar,all,14,1554,4440,336,1000,1.9343352334730604,1.5472281940508383,2.044081690214552,0.3853507017032573,0.17304284096660186,0.4949786364255558,True,True
ASI_modeled_workload_MW,trim_low_allocation,raw,all,14,1386,4440,168,1000,2.015978564185358,1.8768948143300817,2.10202375317514,0.43715446596759105,0.32730306762410755,0.5407402457027652,True,True
ASI_modeled_workload_MW,trim_low_allocation,raw,all,14,1386,4440,336,1000,2.015978564185358,1.8742668541932188,2.082095654015355,0.43715446596759105,0.3189992349045385,0.5418428256283255,True,True
ASI_modeled_workload_MW,trim_low_allocation,calendar,all,14,1386,4440,168,1000,1.9052736542054771,1.5978130764921503,2.0427940533128957,0.3708007150298431,0.19980789083551018,0.4896839997091827,True,True
ASI_modeled_workload_MW,trim_low_allocation,calendar,all,14,1386,4440,336,1000,1.9052736542054771,1.5166270583647854,2.0420546842221245,0.3708007150298431,0.16461182627086748,0.49456635836925394,True,True
