train_weeks,origin_day,h,alpha,unit,K_mw,coverage,target,mean_shortfall_frac,worst_shortfall_frac,mean_train_mw,mean_test_mw,growth_ratio
4,35,4,0.95,norm,2.209505491567114,1.0,0.95,0.0,0.0,3.154769378685077,3.603110807262528,1.1421154369021806
4,35,24,0.9,abs,1.8597670392621688,1.0,0.9,0.0,0.0,3.154769378685077,3.603110807262528,1.1421154369021806
4,35,24,0.9,norm,2.124068644583187,1.0,0.9,0.0,0.0,3.154769378685077,3.603110807262528,1.1421154369021806
4,35,24,0.95,abs,1.6368206966841712,1.0,0.95,0.0,0.0,3.154769378685077,3.603110807262528,1.1421154369021806
4,35,24,0.95,norm,1.869438185123974,1.0,0.95,0.0,0.0,3.154769378685077,3.603110807262528,1.1421154369021806
4,42,1,0.9,abs,2.577073291646513,0.9598214285714286,0.9,0.04974647987577122,0.10321405613022258,3.306428237823884,3.5310112631738386,1.0679231512666258
4,42,1,0.9,norm,2.7521162306602003,0.9211309523809523,0.9,0.06758601584526858,0.16025236197367623,3.306428237823884,3.5310112631738386,1.0679231512666258
4,42,1,0.95,abs,2.329612766732733,0.9970238095238095,0.95,0.006070746781379971,0.007953966739248336,3.306428237823884,3.5310112631738386,1.0679231512666258
4,42,1,0.95,norm,2.487847407080183,0.9747023809523809,0.95,0.036302267150809274,0.07105110317711431,3.306428237823884,3.5310112631738386,1.0679231512666258
4,42,4,0.9,abs,2.3400321042441106,0.9820627802690582,0.9,0.007421682385034244,0.012371197780061825,3.306428237823884,3.5310112631738386,1.0679231512666258
4,42,4,0.9,norm,2.4989744588294442,0.9387144992526159,0.9,0.04492762659368403,0.07518738492695233,3.306428237823884,3.5310112631738386,1.0679231512666258
4,42,4,0.95,abs,2.0701306642300734,1.0,0.95,0.0,0.0,3.306428237823884,3.5310112631738386,1.0679231512666258
4,42,4,0.95,norm,2.210740462478253,1.0,0.95,0.0,0.0,3.306428237823884,3.5310112631738386,1.0679231512666258
4,42,24,0.9,abs,1.8597670392621688,1.0,0.9,0.0,0.0,3.306428237823884,3.5310112631738386,1.0679231512666258
4,42,24,0.9,norm,1.986088277190658,1.0,0.9,0.0,0.0,3.306428237823884,3.5310112631738386,1.0679231512666258
4,42,24,0.95,abs,1.6368206966841712,1.0,0.95,0.0,0.0,3.306428237823884,3.5310112631738386,1.0679231512666258
4,42,24,0.95,norm,1.747998716461394,1.0,0.95,0.0,0.0,3.306428237823884,3.5310112631738386,1.0679231512666258
4,49,1,0.9,abs,2.8816348686113606,0.8065476190476191,0.9,0.0707636617486714,0.1979958566421335,3.5042290850664366,3.3913341518136044,0.9677832326277003
4,49,1,0.9,norm,2.7887979083974006,0.8616071428571429,0.9,0.06271172396834096,0.17129774900079076,3.5042290850664366,3.3913341518136044,0.9677832326277003
4,49,1,0.95,abs,2.767849307705402,0.8720238095238095,0.95,0.060409263870132325,0.16502567613164504,3.5042290850664366,3.3913341518136044,0.9677832326277003
4,49,1,0.95,norm,2.6786781504374764,0.9211309523809523,0.95,0.05625785549160411,0.13723001627001327,3.5042290850664366,3.3913341518136044,0.9677832326277003
4,49,4,0.9,abs,2.765199658487654,0.7907324364723468,0.9,0.06818386007105176,0.16422559319467284,3.5042290850664366,3.3913341518136044,0.9677832326277003
4,49,4,0.9,norm,2.6761138643521947,0.8654708520179372,0.9,0.06570609437780969,0.13640329918089827,3.5042290850664366,3.3913341518136044,0.9677832326277003
4,49,4,0.95,abs,2.568431200596498,0.9103139013452914,0.95,0.051784643808293125,0.1001966088349645,3.5042290850664366,3.3913341518136044,0.9677832326277003
4,49,4,0.95,norm,2.485684650095124,0.9402092675635276,0.95,0.040936971626228655,0.07024283865518892,3.5042290850664366,3.3913341518136044,0.9677832326277003
4,49,24,0.9,abs,2.462829571751663,0.8443759630200308,0.9,0.04959495108108102,0.06161468467869763,3.5042290850664366,3.3913341518136044,0.9677832326277003
4,49,24,0.9,norm,2.383485164360919,0.8628659476117103,0.9,0.021564538343141478,0.030376551602963136,3.5042290850664366,3.3913341518136044,0.9677832326277003
4,49,24,0.95,abs,2.196325088818029,1.0,0.95,0.0,0.0,3.5042290850664366,3.3913341518136044,0.9677832326277003
4,49,24,0.95,norm,2.125566594357633,1.0,0.95,0.0,0.0,3.5042290850664366,3.3913341518136044,0.9677832326277003
4,56,1,0.9,abs,2.944894570306049,0.6860119047619048,0.9,0.07494258262879752,0.212244311163047,3.5141552033893557,3.3193381981259487,0.9445622079879942
4,56,1,0.9,norm,2.7816361176201374,0.8125,0.9,0.0546014173459759,0.16600973215417308,3.5141552033893557,3.3193381981259487,0.9445622079879942
4,56,1,0.95,abs,2.830677640926357,0.7827380952380952,0.95,0.06247117240558385,0.1804586233194478,3.5141552033893557,3.3193381981259487,0.9445622079879942
4,56,1,0.95,norm,2.6737511226156467,0.9002976190476191,0.95,0.04888004253011903,0.13235849396700738,3.5141552033893557,3.3193381981259487,0.9445622079879942
4,56,4,0.9,abs,2.8293043665100046,0.6666666666666666,0.9,0.07413560278930098,0.18006083818927252,3.5141552033893557,3.3193381981259487,0.9445622079879942
4,56,4,0.9,norm,2.672453979500763,0.8176382660687593,0.9,0.05638952722262142,0.1319373622227862,3.5141552033893557,3.3193381981259487,0.9445622079879942
4,56,4,0.95,abs,2.713968416734283,0.7698056801195815,0.95,0.05793739762513825,0.1452157525196524,3.5141552033893557,3.3193381981259487,0.9445622079879942
4,56,4,0.95,norm,2.563512000120215,0.8923766816143498,0.95,0.04325060345520973,0.09504716549996435,3.5141552033893557,3.3193381981259487,0.9445622079879942
4,56,24,0.9,abs,2.6628973806591847,0.5362095531587057,0.9,0.0701452567228126,0.1288220614008876,3.5141552033893557,3.3193381981259487,0.9445622079879942
4,56,24,0.9,norm,2.515272229520886,0.7318952234206472,0.9,0.04436752542860977,0.0776913037259845,3.5141552033893557,3.3193381981259487,0.9445622079879942
4,56,24,0.95,abs,2.462829571751663,0.810477657935285,0.95,0.03949134617635728,0.05805197509721759,3.5141552033893557,3.3193381981259487,0.9445622079879942
4,56,24,0.95,norm,2.326295738191877,0.963020030816641,0.95,0.0027676134648454784,0.0027676134648454784,3.5141552033893557,3.3193381981259487,0.9445622079879942
4,63,1,0.9,abs,2.976253302386421,0.5625,0.9,0.07433160474669581,0.22054435053510563,3.603110807262528,3.1453557311223515,0.8729555929233392
4,63,1,0.9,norm,2.5981369662747844,0.9375,0.9,0.03893754634833219,0.1071073307925478,3.603110807262528,3.1453557311223515,0.8729555929233392
4,63,1,0.95,abs,2.8302580764508782,0.7157738095238095,0.95,0.053815458973397595,0.18033713247354186,3.603110807262528,3.1453557311223515,0.8729555929233392
4,63,1,0.95,norm,2.4706896172542456,0.9791666666666666,0.95,0.02864497357477634,0.06104860983640092,3.603110807262528,3.1453557311223515,0.8729555929233392
4,63,4,0.9,abs,2.854165766182231,0.5321375186846039,0.9,0.06764473334907135,0.18720297248652248,3.603110807262528,3.1453557311223515,0.8729555929233392
4,63,4,0.9,norm,2.4915599687191063,0.9446935724962631,0.9,0.03894006244690041,0.06891366055448905,3.603110807262528,3.1453557311223515,0.8729555929233392
